tsale,sales,margin,nown,nfull,npart,naux,hoursw,hourspw,inv1,inv2,ssize,start
750000,4411.765,41,1,1,1,1.5357,76,16.75596,17166.67,27177.04,170,1984
1926395,4280.878,39,2,2,3,1.5357,192,22.49376,17166.67,27177.04,450,1972
1250000,4166.667,40,1,2,2.2222,1.4091,114,17.1912,292857.2,71570.55,300,1952
694227,2670.104,40,1,1,1.2833,1.3673,100,21.5026,22207.04,15000,260,1966
750000,15000,44,2,1.9556,1.2833,1.3673,104,15.74279,22207.04,10000,50,1996
400000,4444.444,41,2,1.9556,1.2833,1.3673,72,10.89885,22207.04,22859.85,90,1947
1300000,3250,39,1.2228,1,3,4,161,17.45674,22207.04,22859.85,400,1993
495340,4953.4,28,2,1.9556,1.2833,1.3673,80,12.10984,22207.04,22859.85,100,1952
1200000,2666.667,41,1,3,2.2222,1.4091,158,20.7042,292857.2,5000,450,1954
495340,6604.533,37,1,1.9556,1.2833,1,87,16.60654,22207.04,22859.85,75,1973
911315,7594.292,32,1,1,1,1.5357,156,34.39381,17166.67,27177.04,120,2007
231000,5775,30,1,1.9556,1,1.3673,40,7.5147,22207.04,5000,40,2005
492033,5467.033,39,1,2.2656,1,1.3333,96,17.14622,62269.23,16624.89,90,2014
1500000,13636.36,37,1,5,1,1,305,38.125,62269.23,10000,110,2005
330000,8250,34,1,2.2656,2.0741,1.3333,92,13.7869,62269.23,16624.89,40,1978
870000,4350,44,1,1,1.2833,1.3673,80,17.20208,22207.04,12700,200,1996
694227,7713.633,33,1,1.9556,1,1.3673,124,23.29557,22207.04,22859.85,90,2011
245228,3503.257,49,1,1.9556,1.2833,1.3673,69,12.3078,22207.04,3500,70,1990
375000,3947.368,41,2,1.9556,1.2833,1.3673,60,9.082377,22207.04,50000,95,1957
330000,4714.286,41,1,1.9556,1.2833,1.3673,65,11.59431,22207.04,22859.85,70,2004
301133,2409.064,40,2,1.9556,1.2833,1.3673,86,13.01807,22207.04,2000,125,1975
976817,5745.982,44,1,2,1.5946,1.5357,116,18.9224,5000,15000,170,1981
1500000,6000,45,1,5,3,1.4091,270,25.93884,292857.2,71570.55,250,1990
77369,1289.483,21,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,60,1975
471000,4957.895,39,1,1.9556,1.2833,2,99,15.86818,22207.04,22859.85,95,1959
601000,3756.25,35,1,2,2.0741,1.3333,124,19.35262,62269.23,20000,160,1986
976817,7235.682,37,1,1,1.2833,3,120,19.09824,5000,22859.85,135,1977
850000,15454.55,46,2,1.9556,1.2833,1.3673,136,20.58672,22207.04,22859.85,55,1971
495340,4503.091,39,1,2.2656,2.0741,1.3333,95,14.23647,5000,35000,110,1958
694227,5785.225,44,1,4.359,2,1.4091,84,9.580183,292857.2,71570.55,120,1993
156168,3470.4,30,1,1.9556,1.2833,1.3673,50,8.918697,22207.04,22859.85,45,1958
495340,4953.4,41,2,1.9231,1.5946,1.5357,86,12.1927,17166.67,27177.04,100,1985
1000000,7142.857,42,4,3,1,1.3333,190,20.35722,180000,1.00E+05,140,1951
694227,6311.155,38,1,1.9556,1.2833,1.3673,80,14.26992,5000,5000,110,1982
976817,6302.045,41,1,1,2.0741,1,128,25.22615,62269.23,3000,155,1962
156168,3123.36,35,1,1.9556,1,1.3673,48,9.017641,22207.04,5000,50,1965
400000,1818.182,41,1,1,1,1.3673,98,22.43949,22207.04,22859.85,220,1959
179655,2530.352,35,1,1.9556,1.2833,1.3673,43,7.67008,2850,3640,71,1947
876000,6257.143,40,1,1,2.2222,1,96,18.38306,292857.2,71570.55,140,1971
301133,2316.408,39,2,1.9556,1.2833,1.3673,95,14.38043,22207.04,30000,130,2013
495340,11257.73,39,2,1.9556,1.2833,1.3673,55,8.325512,22207.04,2000,44,1968
301133,3764.163,35,1,1.9231,1,1.5357,64,11.72419,17166.67,27177.04,80,1989
853000,7049.587,46,1,1,1,1.3333,118,27.23098,62269.23,1200,121,1951
976817,4884.085,49,2,1,1,1.3673,141,26.27019,5000,1000,200,1974
1894931,5573.327,39,1,3,2,2,204,25.5,2000,5000,340,1992
976817,6105.106,31,2,1,1,1.3673,126,23.47549,22207.04,22859.85,160,1945
694227,4958.764,31,2,2.2656,1,1,144,22.98264,20000,5000,140,1953
495340,4307.304,31,1,1,1.2833,1.3673,110,23.65286,22207.04,5000,115,1984
